Frame,Angle (rad)
799.0,-0.9843035525324224
800.0,-0.8541039602751184
801.0,-0.7946008341130264
802.0,-0.8708660488684709
803.0,-0.788135165681234
804.0,-0.7653361125599644
805.0,-0.7386569141849749
806.0,-0.7216740311691708
807.0,-0.8146068717094611
808.0,-0.8245481681347632
809.0,-0.8603659186654717
810.0,-1.1220853913346316
811.0,-1.2371989075470688
812.0,-1.3134564247265796
813.0,-1.2800472142532335
814.0,-1.2040899604673605
815.0,-1.1348611730844735
816.0,-1.3135686746006956
817.0,-1.2932379608435776
818.0,-1.288759385686664
819.0,-1.3673767942916915
820.0,-1.393329854847256
821.0,-1.592972560409985
822.0,-1.6142199618807063
823.0,-1.8110629074090636
824.0,-1.8990044622681517
825.0,-1.8661363060750475
826.0,-1.6915014006995235
827.0,-1.708350715428362
828.0,-1.7742370603842255
829.0,-1.7863641310092404
830.0,-1.7810978949491956
831.0,-1.79508734685017
832.0,-1.8353739355656584
833.0,-1.9210587101308718
834.0,-1.9700419488282699
835.0,-1.9512943480737834
836.0,-1.9850145008955833
837.0,-1.957999578233693
838.0,-1.995977928694023
839.0,-2.0183605845887977
840.0,-2.0654469778297253
841.0,-1.9831387547444577
842.0,-2.0654562970748875
843.0,-2.0449096313898156
844.0,-2.24625113156888
845.0,-2.267668633499355
846.0,-2.407025292388061
847.0,-2.452178368048868
848.0,-2.4700733994125463
849.0,-2.6806838869253724
850.0,-2.832777880476673
851.0,-2.90106384303619
852.0,-2.9276046103289133
853.0,-2.985169519627837
854.0,-2.869867345918956
855.0,-2.942806297780773
856.0,-2.775302189678821
857.0,-2.7975946724596
858.0,-2.7011165382925637
859.0,-2.6520401520530634
860.0,-2.548826799747248
861.0,-2.4774367624247886
862.0,-2.4113493110831667
863.0,-2.330690963397437
864.0,-2.1730309964597176
865.0,-2.036437544071494
866.0,-1.9347144583054714
867.0,-1.9341618789780097
868.0,-1.7883212634698293
869.0,-1.4928389741741315
870.0,-1.553255267281905
871.0,-1.2570828214756098
872.0,-1.0712365112698123
873.0,-0.8454170084137085
874.0,-0.7645905817974343
875.0,-0.8728408117123077
876.0,-0.7836011537608585
877.0,-0.7373678179746813
878.0,-0.6847907991867775
879.0,-0.6692508874117403
880.0,-0.7700887831819782
881.0,-0.7136075016760316
882.0,-0.7654150228047889
883.0,-0.6654494429926271
884.0,-0.6496860536814301
885.0,-0.4753537132192269
886.0,-0.4354841502855089
887.0,-0.5485057117984018
888.0,-0.5788047804441212
889.0,-0.6344993301836857
890.0,-0.6354106083397342
891.0,-0.7460152280617635
892.0,-0.7091852304215975
893.0,-0.8018779411109124
894.0,-0.768647159631292
895.0,-0.8141447733697672
896.0,-0.780572319497655
897.0,-0.7747564713646448
898.0,-0.8198062999322993
899.0,-0.7539347217687459
900.0,-1.1082769494203588
901.0,-1.1130135915748687
902.0,-1.1088311834898046
903.0,-1.2878253026400133
904.0,-1.1898216702763411
905.0,-1.2218017865535944
906.0,-1.4061442172049807
907.0,-1.30902784122354
908.0,-1.3682404039176925
909.0,-1.5420469980295946
910.0,-1.6463190510449925
911.0,-1.756214098746935
912.0,-1.8805960107091173
913.0,-1.9413403480705063
914.0,-1.9882184959013975
915.0,-2.011868292351336
916.0,-2.12701552071219
917.0,-2.2194660272933673
918.0,-2.155025247181542
919.0,-2.1081805555951467
920.0,-2.150546001209055
921.0,-2.2602068861266638
922.0,-2.3451771646700745
923.0,-2.410961817058035
924.0,-2.248150184661602
925.0,-2.2230377565286736
926.0,-1.9982419849310562
927.0,-2.166040230252689
928.0,-2.1666934055119853
929.0,-2.2440239091599308
930.0,-2.154635524011982
931.0,-2.112533026923718
932.0,-2.042459599828785
933.0,-1.9665351372438746
934.0,-2.128566408926741
935.0,-2.2137479286844575
936.0,-2.0518179117467024
937.0,-2.0065818485436453
938.0,-2.051241441920344
939.0,-2.137350162370254
940.0,-2.134631222279234
941.0,-2.1434683425898746
942.0,-2.1818501439011464
943.0,-2.1210668199467104
944.0,-2.076064654422742
945.0,-1.8805078675569686
946.0,-1.711027524364154
947.0,-1.4588650214668815
948.0,-1.2758439793438638
949.0,-1.2649642527620286
950.0,-0.9612969620784637
951.0,-1.027330569729585
952.0,-0.8031143982650114
953.0,-0.7029887215931423
954.0,-0.8130723173031948
955.0,-0.7495648841348688
956.0,-0.7088670961163615
957.0,-0.6100439182169063
958.0,-0.6657960424040098
959.0,-0.7054712178357659
960.0,-0.7643548790784148
961.0,-0.8453316104320099
962.0,-0.8929028045740094
963.0,-0.9262487179503788
964.0,-1.1552284370606587
965.0,-1.0753005389442802
966.0,-1.2372539620515832
967.0,-1.3127294058765784
968.0,-1.3944225037541231
969.0,-1.4056913924857244
970.0,-1.3626723120149946
971.0,-1.2616635709191226
972.0,-1.5104254187182926
973.0,-1.579611561984807
974.0,-1.63534856085861
975.0,-1.6449353441109644
976.0,-1.670618319476658
977.0,-1.770853960271524
978.0,-1.8871894053700902
979.0,-1.8646920643300977
980.0,-1.919058536193143
981.0,-1.9511880564080915
982.0,-0.9232057217695091
983.0,-2.1212322444247222
984.0,-1.4275388184323956
985.0,-1.4322453629250718
986.0,2.5878083493844564
987.0,-2.6516620153696224
988.0,-1.4041158923622035
989.0,-1.5693354960265733
990.0,-1.827625673470056
991.0,0.8930292869229719
992.0,-1.4633758341950367
993.0,-1.468614356970212
994.0,-1.4643281919364421
995.0,-1.5684138894602955
996.0,-1.572284186775913
997.0,-1.4761934362295202
998.0,-1.4675203155177945
999.0,-1.4838964176131133
1000.0,-1.475616094137134
1001.0,-1.4795425816702434
1002.0,-1.470935991244307
1003.0,-1.497330447894563
1004.0,-1.897544489064911
1005.0,-1.8892914601582298
1006.0,-1.9005616165761254
1007.0,-1.9550726672844272
1008.0,-1.9570385060028128
1009.0,-1.984318687552254
1010.0,-2.0065350297391578
1011.0,-2.0534139378637146
1012.0,-2.0641810283452635
1013.0,-1.402589690975099
1014.0,-2.066241267981315
1015.0,-1.9961376514772713
1016.0,-1.4264385638478194
1017.0,-2.1717180883327036
1018.0,-1.4323652522330765
1019.0,-1.9215344922608568
1020.0,-2.2089337168145513
1021.0,-2.2428746171510148
1022.0,-2.2403348390493245
1023.0,-1.4480997470359884
1024.0,-1.43160101492039
1025.0,-1.438903666523932
1026.0,-1.4316303522840177
1027.0,-1.4390953495437855
1028.0,-1.4316154771218548
1029.0,-1.4390142228526948
1030.0,-1.4391063569494227
1031.0,-1.4383945083270775
1032.0,-1.4263877884550642
1033.0,-1.4326372291149816
1034.0,-1.4312412507761443
1035.0,-2.200035303256093
1036.0,-1.5829918633997724
1037.0,-1.4389358698286254
